"Município";"Cirúrgicos";"Clínicos";"Obstétrico";"Pediátrico";"Outras Especialidades";"Hospital/DIA";"Total"
"315100 Piranguinho";-;-;-;-;-;-;-
"315110 Pirapetinga";6;13;6;7;-;-;32
"315120 Pirapora";24;37;16;13;2;-;92
"315130 Piraúba";-;-;-;-;-;-;-
"315140 Pitangui";6;23;5;2;-;-;36
"315150 Piumhi";16;26;4;8;-;-;54
"315160 Planura";-;6;-;-;-;-;6
"315170 Poço Fundo";10;13;3;3;-;-;29
"315180 Poços de Caldas";73;87;15;14;2;-;191
"315190 Pocrane";-;12;4;2;-;-;18
"315200 Pompéu";6;13;5;1;-;-;25
"315210 Ponte Nova";57;67;18;18;-;-;160
"315213 Ponto Chique";-;-;-;-;-;-;-
"315217 Ponto dos Volantes";-;-;-;-;-;-;-
"315220 Porteirinha";8;18;7;6;-;-;39
"315230 Porto Firme";-;-;-;-;-;-;-
"315240 Poté";2;17;3;6;-;-;28
"315250 Pouso Alegre";63;93;20;23;2;9;210
"315260 Pouso Alto";5;13;4;-;4;-;26
"315270 Prados";-;23;-;4;-;-;27
"315280 Prata";5;10;7;3;-;-;25
"315290 Pratápolis";-;8;-;6;-;-;14
"315300 Pratinha";-;2;-;-;-;-;2
"315310 Presidente Bernardes";-;12;2;4;-;-;18
"315320 Presidente Juscelino";-;-;-;-;-;-;-
"315330 Presidente Kubitschek";-;-;-;-;-;-;-
"315340 Presidente Olegário";4;8;4;2;-;-;18
"315360 Prudente de Morais";-;-;-;-;-;-;-
"315370 Quartel Geral";-;-;-;-;-;-;-
"315380 Queluzito";-;-;-;-;-;-;-
"315390 Raposos";-;-;-;-;-;-;-
"315400 Raul Soares";6;16;8;4;-;-;34
"315410 Recreio";5;15;6;3;1;-;30
"315415 Reduto";-;-;-;-;-;-;-
"315420 Resende Costa";5;25;4;5;-;-;39
"315430 Resplendor";10;27;6;13;-;-;56
"315440 Ressaquinha";-;-;-;-;-;-;-
"315445 Riachinho";-;-;-;-;-;-;-
"315450 Riacho dos Machados";-;-;-;-;-;-;-
"315460 Ribeirão das Neves";12;46;21;12;-;3;94
"315470 Ribeirão Vermelho";-;11;-;-;-;-;11
"315480 Rio Acima";-;-;-;-;-;-;-
"315490 Rio Casca";10;8;10;3;-;-;31
"315510 Rio do Prado";-;-;-;-;-;-;-
"315500 Rio Doce";-;-;-;-;-;-;-
"315520 Rio Espera";-;12;3;3;-;-;18
"315530 Rio Manso";-;-;-;-;-;-;-
"315540 Rio Novo";-;-;-;-;-;-;-
"315550 Rio Paranaíba";3;9;4;3;-;-;19
"315560 Rio Pardo de Minas";4;13;10;13;-;-;40
"315570 Rio Piracicaba";2;18;3;4;1;-;28
"315580 Rio Pomba";4;19;3;6;-;-;32
"315590 Rio Preto";3;11;-;-;-;-;14
"315600 Rio Vermelho";3;17;6;6;-;-;32
"315610 Ritápolis";-;-;-;-;-;-;-
"315620 Rochedo de Minas";-;-;-;-;-;-;-
"315630 Rodeiro";-;-;-;-;-;-;-
"315640 Romaria";-;-;-;-;-;-;-
"315645 Rosário da Limeira";-;-;-;-;-;-;-
"315650 Rubelita";-;-;-;-;-;-;-
"315660 Rubim";3;18;6;4;-;-;31
"315670 Sabará";26;47;-;-;40;-;113
"315680 Sabinópolis";2;22;5;7;-;-;36
"315690 Sacramento";4;15;5;5;1;-;30
"315700 Salinas";10;27;10;5;-;-;52
"315710 Salto da Divisa";-;9;2;2;-;-;13
"315720 Santa Bárbara";4;20;6;6;-;-;36
"315725 Santa Bárbara do Leste";-;-;-;-;-;-;-
"315727 Santa Bárbara do Monte Verde";-;-;-;-;-;-;-
"315730 Santa Bárbara do Tugúrio";-;-;-;-;-;-;-
"315733 Santa Cruz de Minas";-;-;-;-;-;-;-
"315737 Santa Cruz de Salinas";-;-;-;-;-;-;-
"315740 Santa Cruz do Escalvado";-;-;-;-;-;-;-
"315750 Santa Efigênia de Minas";-;-;-;-;-;-;-
"315760 Santa Fé de Minas";-;-;-;-;-;-;-
"315765 Santa Helena de Minas";-;-;-;-;-;-;-
"315770 Santa Juliana";3;11;7;9;-;-;30
"315780 Santa Luzia";1;40;-;2;23;3;69
"315790 Santa Margarida";7;10;6;8;-;-;31
"315800 Santa Maria de Itabira";-;-;-;-;-;-;-
"315810 Santa Maria do Salto";-;6;-;-;-;-;6
"315820 Santa Maria do Suaçuí";3;24;6;5;-;-;38
"315920 Santa Rita de Caldas";-;-;-;-;-;-;-
"315940 Santa Rita de Ibitipoca";-;-;-;-;-;-;-
"315930 Santa Rita de Jacutinga";-;11;2;2;-;-;15
"315935 Santa Rita de Minas";-;-;-;-;-;-;-
"315950 Santa Rita do Itueto";-;-;-;-;-;-;-
"315960 Santa Rita do Sapucaí";10;16;6;2;-;-;34
"315970 Santa Rosa da Serra";-;-;-;-;-;-;-
"315980 Santa Vitória";4;13;4;4;-;-;25
"315830 Santana da Vargem";-;-;-;-;-;-;-
"315840 Santana de Cataguases";-;-;-;-;-;-;-
"315850 Santana de Pirapama";-;-;-;-;-;-;-
"315860 Santana do Deserto";-;-;-;-;-;-;-
"315870 Santana do Garambéu";-;-;-;-;-;-;-
"315880 Santana do Jacaré";-;-;-;-;-;-;-
"315890 Santana do Manhuaçu";-;-;-;-;-;-;-
"315895 Santana do Paraíso";-;-;-;-;-;-;-
"315900 Santana do Riacho";-;-;-;-;-;-;-
"315910 Santana dos Montes";-;-;-;-;-;-;-
"315990 Santo Antônio do Amparo";15;10;6;6;-;-;37
"316000 Santo Antônio do Aventureiro";-;-;-;-;-;-;-
"316010 Santo Antônio do Grama";-;-;-;-;-;-;-
"316020 Santo Antônio do Itambé";-;-;-;-;-;-;-
"316030 Santo Antônio do Jacinto";-;-;-;-;-;-;-
"316040 Santo Antônio do Monte";8;20;9;4;-;-;41
"316045 Santo Antônio do Retiro";-;-;-;-;-;-;-
"316050 Santo Antônio do Rio Abaixo";-;-;-;-;-;-;-
"316060 Santo Hipólito";-;-;-;-;-;-;-
"316070 Santos Dumont";10;36;6;2;-;-;54
"316080 São Bento Abade";-;-;-;-;-;-;-
"316090 São Brás do Suaçuí";-;-;-;-;-;-;-
"316095 São Domingos das Dores";-;-;-;-;-;-;-
"316100 São Domingos do Prata";6;20;4;3;-;1;34
"316105 São Félix de Minas";-;-;-;-;-;-;-
"316110 São Francisco";11;25;12;6;-;5;59
"316120 São Francisco de Paula";-;-;-;-;-;-;-
"316130 São Francisco de Sales";-;-;-;-;-;-;-
"316140 São Francisco do Glória";-;-;-;-;-;-;-
"316150 São Geraldo";-;-;-;-;-;-;-
"316160 São Geraldo da Piedade";-;-;-;-;-;-;-
"316165 São Geraldo do Baixio";-;-;-;-;-;-;-
"316170 São Gonçalo do Abaeté";-;-;-;-;-;-;-
"316180 São Gonçalo do Pará";-;-;-;-;-;-;-
"316190 São Gonçalo do Rio Abaixo";-;-;-;-;-;-;-
"312550 São Gonçalo do Rio Preto";-;6;-;2;-;-;8
"316200 São Gonçalo do Sapucaí";6;12;6;4;-;-;28
"316210 São Gotardo";10;8;7;1;-;-;26
"316220 São João Batista do Glória";6;3;3;4;1;-;17
"316225 São João da Lagoa";-;-;-;-;-;-;-
"316230 São João da Mata";-;-;-;-;-;-;-
"316240 São João da Ponte";8;15;6;8;-;-;37
"316245 São João das Missões";-;-;-;-;-;-;-
"316250 São João del Rei";35;72;9;15;-;-;131
"316255 São João do Manhuaçu";-;-;-;-;-;-;-
"316257 São João do Manteninha";-;-;-;-;-;-;-
"316260 São João do Oriente";-;-;-;-;-;-;-
"316265 São João do Pacuí";-;-;-;-;-;-;-
"316270 São João do Paraíso";6;28;8;6;-;-;48
"316280 São João Evangelista";10;20;8;12;-;-;50
"316290 São João Nepomuceno";5;20;8;2;-;-;35
"316292 São Joaquim de Bicas";-;-;-;-;-;-;-
"316294 São José da Barra";-;-;-;-;-;-;-
"316295 São José da Lapa";-;-;-;-;-;-;-
"316300 São José da Safira";-;-;-;-;-;-;-
"316310 São José da Varginha";-;-;-;-;-;-;-
"316320 São José do Alegre";-;-;-;-;-;-;-
"316330 São José do Divino";-;-;-;-;-;-;-
"316340 São José do Goiabal";-;-;-;-;-;-;-
"316350 São José do Jacuri";-;-;-;-;-;-;-
"316360 São José do Mantimento";-;-;-;-;-;-;-
"316370 São Lourenço";19;24;9;5;10;-;67
"316380 São Miguel do Anta";-;-;-;-;-;-;-
"316390 São Pedro da União";-;6;1;1;-;-;8
"316410 São Pedro do Suaçuí";-;-;-;-;-;-;-
"316400 São Pedro dos Ferros";-;-;-;-;-;-;-
"316420 São Romão";-;8;5;5;-;-;18
"316430 São Roque de Minas";-;2;-;2;-;-;4
"316440 São Sebastião da Bela Vista";-;-;-;-;-;-;-
"316443 São Sebastião da Vargem Alegre";-;-;-;-;-;-;-
"316447 São Sebastião do Anta";-;-;-;-;-;-;-
"316450 São Sebastião do Maranhão";-;-;-;-;-;-;-
"316460 São Sebastião do Oeste";-;-;-;-;-;-;-
"316470 São Sebastião do Paraíso";23;64;12;6;160;-;265
"316480 São Sebastião do Rio Preto";-;-;-;-;-;-;-
"316490 São Sebastião do Rio Verde";-;-;-;-;-;-;-
"316520 São Thomé das Letras";-;-;-;-;-;-;-
"316500 São Tiago";4;16;4;6;-;-;30
"316510 São Tomás de Aquino";-;-;-;-;-;-;-
"316530 São Vicente de Minas";6;11;3;3;-;-;23
"316540 Sapucaí-Mirim";-;-;-;-;-;-;-
"316550 Sardoá";-;-;-;-;-;-;-
"316553 Sarzedo";-;-;-;-;-;-;-
"316556 Sem-Peixe";-;-;-;-;-;-;-
"316557 Senador Amaral";-;-;-;-;-;-;-
"316560 Senador Cortes";-;-;-;-;-;-;-
"316570 Senador Firmino";-;6;-;-;-;-;6
"316580 Senador José Bento";-;-;-;-;-;-;-
"316590 Senador Modestino Gonçalves";-;-;-;-;-;-;-
"316600 Senhora de Oliveira";-;-;-;-;-;-;-
"316610 Senhora do Porto";-;-;-;-;-;-;-
"316620 Senhora dos Remédios";-;-;-;-;-;-;-
"316630 Sericita";-;-;-;-;-;-;-
"316640 Seritinga";-;-;-;-;-;-;-
"316650 Serra Azul de Minas";-;-;-;-;-;-;-
"316660 Serra da Saudade";-;-;-;-;-;-;-
"316680 Serra do Salitre";4;5;-;4;-;-;13
"316670 Serra dos Aimorés";-;-;-;-;-;-;-
"316690 Serrania";3;6;2;2;-;-;13
"316695 Serranópolis de Minas";-;-;-;-;-;-;-
"316700 Serranos";-;-;-;-;-;-;-
"316710 Serro";10;14;6;7;-;-;37
"316720 Sete Lagoas";64;87;29;33;4;-;217
"316555 Setubinha";-;-;-;-;-;-;-
"316730 Silveirânia";-;-;-;-;-;-;-
"316740 Silvianópolis";-;-;-;-;-;-;-
"316750 Simão Pereira";-;-;-;-;-;-;-
"316760 Simonésia";-;-;-;-;-;-;-
"316770 Sobrália";-;-;-;-;-;-;-
"316780 Soledade de Minas";-;-;-;-;-;-;-
"316790 Tabuleiro";-;-;-;-;-;-;-
"316800 Taiobeiras";21;38;7;8;-;-;74
"316805 Taparuba";-;-;-;-;-;-;-
"316810 Tapira";-;-;-;-;-;-;-
"316820 Tapiraí";-;-;-;-;-;-;-
"316830 Taquaraçu de Minas";-;-;-;-;-;-;-
"316840 Tarumirim";21;19;4;5;-;-;49
"316850 Teixeiras";-;12;-;3;-;-;15
"316860 Teófilo Otoni";128;98;21;12;-;-;259
"316870 Timóteo";15;14;6;4;-;4;43
"316880 Tiradentes";-;-;-;-;-;-;-
"316890 Tiros";-;11;-;3;-;-;14
"316900 Tocantins";-;-;-;-;-;-;-
"316905 Tocos do Moji";-;-;-;-;-;-;-
"316910 Toledo";-;-;-;-;-;-;-
"316920 Tombos";4;21;1;4;-;-;30
"316930 Três Corações";18;54;15;14;-;-;101
"316935 Três Marias";3;11;4;5;-;-;23
"316940 Três Pontas";20;40;10;3;-;-;73
"316950 Tumiritinga";-;-;-;-;-;-;-
"316960 Tupaciguara";-;-;-;-;-;-;-
"316970 Turmalina";5;18;6;10;-;-;39
"316980 Turvolândia";-;-;-;-;-;-;-
"316990 Ubá";47;103;19;19;10;-;198
"317000 Ubaí";-;-;-;-;-;-;-
"317005 Ubaporanga";-;-;-;-;-;-;-
"317010 Uberaba";179;178;38;72;129;21;617
"317020 Uberlândia";268;365;74;105;17;11;840
"317030 Umburatiba";-;-;-;-;-;-;-
"317040 Unaí";20;17;17;10;-;4;68
"317043 União de Minas";8;16;2;6;-;-;32
"317047 Uruana de Minas";-;-;-;-;-;-;-
"317050 Urucânia";-;-;-;-;-;-;-
"317052 Urucuia";8;11;6;5;-;-;30
"317057 Vargem Alegre";-;-;-;-;-;-;-
"317060 Vargem Bonita";-;-;-;-;-;-;-
"317065 Vargem Grande do Rio Pardo";-;-;-;-;-;-;-
"317070 Varginha";65;71;18;9;-;-;163
"317075 Varjão de Minas";-;-;-;-;-;-;-
"317080 Várzea da Palma";10;18;-;5;2;-;35
"317090 Varzelândia";-;13;6;4;-;-;23
"317100 Vazante";5;14;4;4;-;-;27
"317103 Verdelândia";-;-;-;-;-;-;-
"317107 Veredinha";-;-;-;-;-;-;-
"317110 Veríssimo";-;-;-;-;-;-;-
"317115 Vermelho Novo";-;-;-;-;-;-;-
"317120 Vespasiano";19;30;9;3;-;-;61
"317130 Viçosa";42;55;13;13;2;11;136
"317140 Vieiras";-;-;-;-;-;-;-
"317160 Virgem da Lapa";4;19;9;7;-;-;39
"317170 Virgínia";2;14;2;6;1;-;25
"317180 Virginópolis";8;28;6;6;-;-;48
"317190 Virgolândia";-;-;-;-;-;-;-
"317200 Visconde do Rio Branco";8;31;6;7;-;-;52
"317210 Volta Grande";-;-;-;-;-;-;-
"317220 Wenceslau Braz";-;-;-;-;-;-;-
"310000 Município ignorado - MG";-;-;-;-;-;-;-
"320010 Afonso Cláudio";8;30;7;7;-;-;52
"320016 Água Doce do Norte";-;-;-;-;-;-;-
"320013 Águia Branca";-;-;-;-;-;-;-
"320020 Alegre";15;19;8;1;-;-;43
"320030 Alfredo Chaves";-;-;-;-;-;-;-
"320035 Alto Rio Novo";-;-;-;-;-;-;-
"320040 Anchieta";11;25;10;7;-;-;53
"320050 Apiacá";-;14;2;-;-;-;16
"320060 Aracruz";18;34;19;22;-;-;93
"320070 Atilio Vivacqua";-;8;-;2;-;-;10
"320080 Baixo Guandu";10;19;10;12;-;-;51
"320090 Barra de São Francisco";22;22;11;6;-;-;61
"320100 Boa Esperança";4;15;5;6;-;-;30
"320110 Bom Jesus do Norte";-;-;-;-;-;-;-
"320115 Brejetuba";-;-;-;-;-;-;-
"320120 Cachoeiro de Itapemirim";101;128;27;59;36;3;354
"320130 Cariacica";15;48;41;4;76;3;187
"320140 Castelo";6;14;6;5;-;-;31
"320150 Colatina";100;153;46;36;-;1;336
"320160 Conceição da Barra";4;12;-;-;-;-;16
"320170 Conceição do Castelo";3;8;4;5;-;-;20
"320180 Divino de São Lourenço";-;-;-;-;-;-;-
"320190 Domingos Martins";9;60;17;7;-;-;93
"320200 Dores do Rio Preto";-;-;-;-;-;-;-
"320210 Ecoporanga";6;6;10;24;-;-;46
"320220 Fundão";-;11;-;-;-;-;11
"320225 Governador Lindenberg";-;-;-;-;-;-;-
"320230 Guaçuí";12;38;17;9;-;-;76
"320240 Guarapari";3;5;24;27;-;-;59
"320245 Ibatiba";6;16;6;13;-;-;41
"320250 Ibiraçu";-;-;-;-;-;-;-
"320255 Ibitirama";-;-;-;-;-;-;-
"320260 Iconha";6;10;4;6;-;-;26
"320265 Irupi";-;-;-;-;-;-;-
"320270 Itaguaçu";6;26;7;8;-;-;47
"320280 Itapemirim";49;36;11;4;-;-;100
"320290 Itarana";1;27;2;5;-;-;35
"320300 Iúna";8;27;6;15;-;-;56
"320305 Jaguaré";1;9;8;4;-;-;22
"320310 Jerônimo Monteiro";13;11;1;1;-;-;26
"320313 João Neiva";7;15;4;6;-;-;32
"320316 Laranja da Terra";-;16;2;5;-;-;23
"320320 Linhares";46;47;28;22;3;8;154
"320330 Mantenópolis";-;-;-;-;-;-;-
"320332 Marataízes";-;-;-;-;-;-;-
"320334 Marechal Floriano";-;-;-;-;-;-;-
"320335 Marilândia";-;-;-;-;-;-;-
"320340 Mimoso do Sul";6;29;6;5;-;-;46
"320350 Montanha";4;17;6;5;-;-;32
"320360 Mucurici";2;10;4;3;-;-;19
"320370 Muniz Freire";7;14;8;5;-;-;34
"320380 Muqui";6;15;8;8;1;-;38
"320390 Nova Venécia";4;28;4;12;-;-;48
"320400 Pancas";-;9;-;-;-;-;9
"320405 Pedro Canário";6;10;6;6;2;-;30
"320410 Pinheiros";4;18;4;6;-;-;32
"320420 Piúma";-;12;-;-;-;-;12
"320425 Ponto Belo";-;-;-;-;-;-;-
"320430 Presidente Kennedy";-;-;-;-;-;-;-
"320435 Rio Bananal";3;11;6;6;-;-;26
"320440 Rio Novo do Sul";-;-;-;-;-;-;-
"320450 Santa Leopoldina";17;8;-;-;-;-;25
"320455 Santa Maria de Jetibá";6;30;9;11;-;-;56
"320460 Santa Teresa";18;30;8;2;-;-;58
"320465 São Domingos do Norte";-;-;-;-;-;-;-
"320470 São Gabriel da Palha";4;16;-;-;-;-;20
"320480 São José do Calçado";22;30;8;11;-;6;77
"320490 São Mateus";73;76;19;37;-;1;206
"320495 São Roque do Canaã";-;-;-;-;-;-;-
"320500 Serra";215;163;88;8;-;-;474
"320501 Sooretama";-;-;-;-;-;-;-
"320503 Vargem Alta";5;18;-;4;-;-;27
"320506 Venda Nova do Imigrante";10;19;12;16;4;-;61
"320510 Viana";-;-;-;-;-;-;-
"320515 Vila Pavão";-;-;-;-;-;-;-
"320517 Vila Valério";-;-;-;-;-;-;-
"320520 Vila Velha";177;88;52;70;28;20;435
"320530 Vitória";511;418;67;43;50;46;1135
"320000 Município ignorado - ES";-;-;-;-;-;-;-
"330010 Angra dos Reis";53;86;53;11;14;-;217
"330015 Aperibé";6;19;4;4;2;-;35
"330020 Araruama";52;26;-;12;4;-;94
"330022 Areal";-;12;-;1;8;-;21
"330023 Armação dos Búzios";10;20;8;8;2;-;48
"330025 Arraial do Cabo";29;22;12;9;1;6;79
"330030 Barra do Piraí";20;65;19;25;101;4;234
"330040 Barra Mansa";49;88;25;20;1;4;187
"330045 Belford Roxo";-;37;-;114;6;-;157
"330050 Bom Jardim";13;25;8;10;3;1;60
"330060 Bom Jesus do Itabapoana";21;20;6;21;2;1;71
"330070 Cabo Frio";72;139;30;62;16;-;319
"330080 Cachoeiras de Macacu";12;51;20;16;4;-;103
"330090 Cambuci";8;21;7;6;-;-;42
"330100 Campos dos Goytacazes";337;336;78;85;276;-;1112
"330110 Cantagalo";8;40;6;12;5;-;71
"330093 Carapebus";-;-;-;-;-;-;-
"330115 Cardoso Moreira";-;-;-;-;-;-;-
"330120 Carmo";6;19;6;5;-;-;36
"330130 Casimiro de Abreu";25;18;10;18;-;4;75
"330095 Comendador Levy Gasparian";-;-;-;-;-;-;-
"330140 Conceição de Macabu";-;36;-;-;-;-;36
"330150 Cordeiro";8;17;7;4;2;-;38
"330160 Duas Barras";2;7;3;4;-;-;16
"330170 Duque de Caxias";162;274;151;145;9;10;751
"330180 Engenheiro Paulo de Frontin";-;16;-;-;7;-;23
"330185 Guapimirim";10;24;15;15;7;2;73
"330187 Iguaba Grande";-;-;-;-;-;-;-
"330190 Itaboraí";24;231;30;21;-;-;306
"330200 Itaguaí";8;37;24;9;9;3;90
"330205 Italva";-;-;-;-;-;-;-
"330210 Itaocara";6;23;5;6;-;-;40
"330220 Itaperuna";68;52;5;14;84;-;223
"330225 Itatiaia";6;16;6;5;3;-;36
"330227 Japeri";-;-;-;-;-;-;-
"330230 Laje do Muriaé";5;14;5;3;3;-;30
"330240 Macaé";105;107;28;46;5;4;295
"330245 Macuco";-;-;-;-;-;-;-
"330250 Magé";15;80;27;20;-;-;142
"330260 Mangaratiba";15;27;6;10;4;-;62
"330270 Maricá";37;49;14;6;2;-;108
"330280 Mendes";-;-;-;-;-;-;-
"330285 Mesquita";1;-;98;1;-;-;100
"330290 Miguel Pereira";24;48;16;11;-;-;99
"330300 Miracema";5;21;9;6;-;1;42
"330310 Natividade";10;20;6;10;-;-;46
"330320 Nilópolis";83;5;-;-;-;-;88
"330330 Niterói";220;243;90;48;337;33;971
"330340 Nova Friburgo";96;79;39;27;160;7;408
"330350 Nova Iguaçu";196;133;138;49;12;8;536
"330360 Paracambi";-;36;-;6;12;-;54
"330370 Paraíba do Sul";66;29;-;7;-;-;102
"330380 Paraty";10;10;10;5;2;-;37
"330385 Paty do Alferes";-;-;-;-;-;-;-
"330390 Petrópolis";73;221;54;34;655;2;1039
"330395 Pinheiral";5;15;5;4;-;-;29
"330400 Piraí";11;21;9;10;-;-;51
"330410 Porciúncula";1;-;-;-;-;-;1
"330411 Porto Real";5;28;2;6;4;-;45
"330412 Quatis";6;21;2;4;-;-;33
"330414 Queimados";-;-;-;67;-;-;67
"330415 Quissamã";8;32;14;17;3;-;74
"330420 Resende";33;89;20;14;2;-;158
"330430 Rio Bonito";23;33;17;14;-;-;87
"330440 Rio Claro";10;22;7;-;-;2;41
"330450 Rio das Flores";3;12;-;4;2;-;21
"330452 Rio das Ostras";13;49;20;8;-;-;90
"330455 Rio de Janeiro";2830;2533;950;745;1093;357;8508
"330460 Santa Maria Madalena";4;9;5;4;1;-;23
"330470 Santo Antônio de Pádua";27;45;12;15;2;-;101
"330480 São Fidélis";16;51;13;22;-;-;102
"330475 São Francisco de Itabapoana";-;17;3;5;5;-;30
"330490 São Gonçalo";176;180;67;67;231;13;734
"330500 São João da Barra";6;24;10;-;-;-;40
"330510 São João de Meriti";6;31;53;4;-;7;101
"330513 São José de Ubá";-;-;-;-;-;-;-
"330515 São José do Vale do Rio Preto";6;25;9;11;3;-;54
"330520 São Pedro da Aldeia";13;8;16;8;-;-;45
"330530 São Sebastião do Alto";8;19;3;9;-;-;39
"330540 Sapucaia";-;-;-;-;-;-;-
"330550 Saquarema";28;45;36;5;2;-;116
"330555 Seropédica";4;1;22;-;-;-;27
"330560 Silva Jardim";-;38;-;2;-;-;40
"330570 Sumidouro";4;14;4;3;-;-;25
"330575 Tanguá";-;9;-;3;31;-;43
"330580 Teresópolis";78;86;27;24;53;-;268
"330590 Trajano de Moraes";5;14;4;6;2;-;31
"330600 Três Rios";21;16;16;5;128;-;186
"330610 Valença";79;117;30;32;31;-;289
"330615 Varre-Sai";4;19;6;4;2;-;35
"330620 Vassouras";81;108;16;20;178;-;403
"330630 Volta Redonda";102;231;23;43;19;1;419
"330000 Município ignorado - RJ";-;-;-;-;-;-;-
"350010 Adamantina";9;35;10;8;144;-;206
"350020 Adolfo";-;-;-;-;-;-;-
"350030 Aguaí";-;-;-;-;-;-;-
"350040 Águas da Prata";-;-;-;-;-;-;-
"350050 Águas de Lindóia";3;15;6;6;-;-;30
"350055 Águas de Santa Bárbara";-;-;-;-;-;-;-
"350060 Águas de São Pedro";-;-;-;-;-;-;-
"350070 Agudos";11;12;3;12;-;-;38
"350075 Alambari";-;-;-;-;-;-;-
"350080 Alfredo Marcondes";-;-;-;-;-;-;-
"350090 Altair";-;-;-;-;-;-;-
"350100 Altinópolis";2;6;3;4;10;-;25
"350110 Alto Alegre";4;10;3;2;-;-;19
"350115 Alumínio";-;-;-;-;-;-;-
"350120 Álvares Florence";-;-;-;-;-;-;-
"350130 Álvares Machado";3;12;3;-;-;-;18
"350140 Álvaro de Carvalho";-;-;-;-;-;-;-
"350150 Alvinlândia";-;-;-;-;-;-;-
"350160 Americana";32;39;29;13;94;-;207
"350170 Américo Brasiliense";22;44;-;6;93;28;193
"350180 Américo de Campos";-;-;-;-;-;-;-
"350190 Amparo";15;18;11;9;160;2;215
"350200 Analândia";-;-;-;-;-;-;-
"350210 Andradina";8;55;14;14;-;-;91
"350220 Angatuba";11;24;6;9;4;-;54
"350230 Anhembi";-;-;-;-;-;-;-
"350240 Anhumas";-;-;-;-;-;-;-
"350250 Aparecida";23;17;7;3;20;-;70
"350260 Aparecida d'Oeste";2;14;1;3;-;-;20
"350270 Apiaí";6;14;13;6;-;-;39
"350275 Araçariguama";-;-;-;-;-;-;-
"350280 Araçatuba";78;58;16;14;65;-;231
"350290 Araçoiaba da Serra";-;-;-;-;-;-;-
"350300 Aramina";-;-;-;-;-;-;-
"350310 Arandu";3;5;4;-;-;-;12
"350315 Arapeí";-;-;-;-;-;-;-
"350320 Araraquara";63;61;36;16;30;16;222
"350330 Araras";28;40;20;11;147;-;246
"350335 Arco-Íris";-;-;-;-;-;-;-
"350340 Arealva";1;15;-;2;-;-;18
"350350 Areias";-;-;-;-;-;-;-
"350360 Areiópolis";-;-;-;-;-;-;-
"350370 Ariranha";-;-;-;-;-;-;-
"350380 Artur Nogueira";-;-;-;-;-;-;-
"350390 Arujá";-;9;11;4;-;-;24
"350395 Aspásia";-;-;-;-;-;-;-
"350400 Assis";58;39;28;12;16;-;153
"350410 Atibaia";17;20;10;8;-;-;55
"350420 Auriflama";8;17;3;7;-;-;35
"350430 Avaí";-;-;-;-;-;-;-
"350440 Avanhandava";-;-;-;-;-;-;-
"350450 Avaré";32;38;16;9;-;-;95
"350460 Bady Bassitt";-;-;-;-;-;-;-
"350470 Balbinos";-;-;-;-;-;-;-
"350480 Bálsamo";-;-;-;-;-;-;-
"350490 Bananal";-;7;5;3;-;-;15
"350500 Barão de Antonina";-;-;-;-;-;-;-
"350510 Barbosa";-;-;-;-;-;-;-
"350520 Bariri";4;15;9;6;-;-;34
"350530 Barra Bonita";16;23;8;12;-;-;59
"350535 Barra do Chapéu";-;-;-;-;-;-;-
"350540 Barra do Turvo";-;-;-;-;-;-;-
"350550 Barretos";92;136;15;15;106;27;391
"350560 Barrinha";-;-;-;-;-;-;-
"350570 Barueri";76;126;54;74;12;13;355
"350580 Bastos";4;12;5;7;-;-;28
"350590 Batatais";14;33;11;13;30;-;101
"350600 Bauru";253;246;44;49;25;19;636
"350610 Bebedouro";20;25;13;12;5;-;75
"350620 Bento de Abreu";-;-;-;-;-;-;-
"350630 Bernardino de Campos";1;17;1;4;-;-;23
"350635 Bertioga";10;15;12;10;2;-;49
"350640 Bilac";10;19;-;4;2;-;35
"350650 Birigui";12;28;14;12;-;-;66
"350660 Biritiba-Mirim";-;-;-;-;-;-;-
"350670 Boa Esperança do Sul";4;6;-;3;-;-;13
"350680 Bocaina";1;18;4;6;-;-;29
"350690 Bofete";-;-;-;-;-;-;-
"350700 Boituva";10;9;8;9;-;-;36
"350710 Bom Jesus dos Perdões";-;8;1;3;-;-;12
"350715 Bom Sucesso de Itararé";-;-;-;-;-;-;-
"350720 Borá";-;-;-;-;-;-;-
"350730 Boracéia";-;-;-;-;-;-;-
"350740 Borborema";2;10;2;2;-;-;16
"350745 Borebi";-;-;-;-;-;-;-
"350750 Botucatu";158;191;29;61;83;19;541
"350760 Bragança Paulista";61;67;25;29;4;20;206
"350770 Braúna";-;-;-;-;-;-;-
"350775 Brejo Alegre";-;-;-;-;-;-;-
"350780 Brodowski";-;-;-;-;-;-;-
"350790 Brotas";6;16;8;5;-;-;35
"350800 Buri";-;-;-;-;-;-;-
"350810 Buritama";2;8;4;8;-;-;22
"350820 Buritizal";-;-;-;-;-;-;-
"350830 Cabrália Paulista";-;-;-;-;-;-;-
"350840 Cabreúva";3;2;4;2;-;-;11
"350850 Caçapava";9;29;14;11;-;-;63
"350860 Cachoeira Paulista";-;14;-;-;-;-;14
"350870 Caconde";6;14;-;2;40;-;62
"350880 Cafelândia";8;18;5;6;-;-;37
"350890 Caiabu";-;-;-;-;-;-;-
"350900 Caieiras";4;27;32;2;-;-;65
"350910 Caiuá";-;-;-;-;-;-;-
"350920 Cajamar";7;18;12;5;1;6;49
